feature,type
day,numeric
hour,numeric
minute,numeric
time_index,numeric
total_minutes,numeric
hour_sin,numeric
hour_cos,numeric
time_index_sin,numeric
time_index_cos,numeric
is_morning_peak,numeric
is_evening_peak,numeric
is_late_night,numeric
is_peak_hour,numeric
NumberofLanes,numeric
has_many_lanes,numeric
Temperature,numeric
temp_capped,numeric
RoadType_was_missing,numeric
Weather_was_missing,numeric
Temperature_was_missing,numeric
timestamp_invalid,numeric
large_vehicle_allowed,numeric
has_landmark,numeric
lane_vehicle_interaction,numeric
peak_lane_interaction,numeric
geo_lat,numeric
geo_lon,numeric
geohash_freq,numeric
geohash_prefix_4_freq,numeric
geohash_prefix_5_freq,numeric
road_weather_freq,numeric
geohash_target_mean_oof,numeric
geohash_prefix_4_target_mean_oof,numeric
RoadType_target_mean_oof,numeric
Weather_target_mean_oof,numeric
road_weather_target_mean_oof,numeric
geohash,categorical_label_encoded
geohash_prefix_3,categorical_label_encoded
geohash_prefix_4,categorical_label_encoded
geohash_prefix_5,categorical_label_encoded
RoadType,categorical_label_encoded
LargeVehicles,categorical_label_encoded
Landmarks,categorical_label_encoded
Weather,categorical_label_encoded
road_weather,categorical_label_encoded
